,category,product_url,product_name,model_no,brand,MRP,offer_price,save_percentage,EMI,delivery,warranty,return_policy
10,television,https://www.snapdeal.com/product/destine-ds32hd21-80-cm-32/638145425946,destine DS-32HD21 80 cm ( 32 ) Full HD (FHD) LED Television,DS-32HD21,destine,"MRP  Rs. 16,999  (Inclusive of all taxes)",Rs. 15500,9% OFF,EMI starts at Rs. 736 /month.,Generally delivered in 9 - 13 days,2,7 Days Easy Returns
11,television,https://www.snapdeal.com/product/bravieo-32gl51-unbreakable-80-cm/663694727900,Bravieo 32GL51 UNBREAKABLE 80 cm ( 32 ) Full HD (FHD) LED Television With 1+2 Year Extended Warranty,32GL51 UNBREAKABLE,Bravieo,"MRP  Rs. 28,500  (Inclusive of all taxes)",Rs. 17990,37% OFF,EMI starts at Rs. 855 /month.,Generally delivered in 7 - 11 days,1,7 Days Easy Returns
12,television,https://www.snapdeal.com/product/iwi-iwi-50inch-4k-led/661720414705,Iwi iwi 50inch 4k led 127 cm ( 50 ) Smart Ultra HD (4K) LED Television With 1+2 Year Extended Warranty,iwi 50inch 4k led,Iwi,"MRP  Rs. 53,000  (Inclusive of all taxes)",Rs. 39990,25% OFF,EMI starts at Rs. 1901 /month.,Generally delivered in 7 - 11 days,3,7 Days Easy Returns
13,television,https://www.snapdeal.com/product/destine-ds32hd21-81-cm-32/660973715821,destine DS-32HD-21 81 cm ( 32 ) Full HD (FHD) LED Television,DS-32HD-21,destine,"MRP  Rs. 19,000  (Inclusive of all taxes)",Rs. 14000,26% OFF,EMI starts at Rs. 665 /month.,Generally delivered in 9 - 13 days,1,7 Days Easy Returns
14,television,https://www.snapdeal.com/product/samsung-ua32n4000ar-8128-cm-smart/669923551459,Samsung UA32N4000AR 81.28 cm (32 Inches) Smart HD Ready (HDR) LED Television,UA32N4000AR,Warranty,"MRP  Rs. 25,900  (Inclusive of all taxes)",Rs. 21701,16% OFF,EMI starts at Rs. 1031 /month.,Generally delivered in 7 - 11 days,1 Year Brand Warranty,7 Days Easy Returns
15,television,https://www.snapdeal.com/product/lg-43uj652t-108-cm-43/668567965936,LG 43UJ652T 108 cm ( 43 ) Ultra HD (4K) LED Television,43UJ652T,LG,"MRP  Rs. 74,990  (Inclusive of all taxes)",Rs. 68653,8% OFF,EMI starts at Rs. 3263 /month.,Generally delivered in 6 - 10 days,1,7 Days Easy Returns
16,television,https://www.snapdeal.com/product/intex-led-5500-uhd-smt/632418919593,Intex LED 5500 UHD SMT 139 cm ( 55 ) Ultra HD (4K) LED Television,LED 5500 UHD SMT,Intex,"MRP  Rs. 78,990  (Inclusive of all taxes)",Rs. 62686,21% OFF,EMI starts at Rs. 2980 /month.,Generally delivered in 9 - 13 days,3,7 Days Easy Returns
17,television,https://www.snapdeal.com/product/activa-act32-smart-80-cm/662384079103#bcrumbLabelId:64,Activa ACT-32 SMART ANDROID 80 cm ( 32 ) Smart Full HD (FHD) LED Television With 1+1 Year Extended Warranty,ACT-32 SMART ANDROID,Activa,"MRP  Rs. 23,990  (Inclusive of all taxes)",Rs. 10890,55% OFF,EMI starts at Rs. 517 /month.,Generally delivered in 4 - 8 days,1,7 Days Easy Returns
18,television,https://www.snapdeal.com/product/intex-led3216-81-cm-32/637184242382#bcrumbLabelId:64,Intex 3226 80 cm (32) HD Ready LED Television With 1+2 Year Extended Warranty,Null,Null,"MRP  Rs. 23,900  (Inclusive of all taxes)",Rs. 9998,58% OFF,EMI starts at Rs. 475 /month.,Generally delivered in 8 - 12 days,Null,7 Days Easy Returns
19,television,https://www.snapdeal.com/product/sony-kd43x7002f-108-cm-43/680791186213,Sony KD-43X7002F 108 cm ( 43 ) Ultra HD (4K) LED Television With 1+1 Year Extended Warranty,KD-43X7002F,Sony,"MRP  Rs. 72,990  (Inclusive of all taxes)",Rs. 68950,6% OFF,EMI starts at Rs. 3278 /month.,Generally delivered in 7 - 11 days,1,7 Days Easy Returns
